,Title,Company,Salaire_annuel_moyen,Département,Titre/Data,Titre/Data Analyst,Titre/Data Scientist,Titre/Developpeur,Titre/Business Intelligence,Titre/Consultant,Titre/Senior,Titre/Engineer,Titre/freelance,Data Analyst,Data Scientist,Developpeur,Business Intelligence,Consultant,Senior,Debutant,Cadre,Engineer,big data,NLP,CDI,CDD,freelance,Bac+5,Bac+4,Bac+3,Bac+2,Python,Pyspark,Java,Julia,JavaScript,PHP,C++,SQL,NoSQL,AWS,Azure,Kafka,SQL Server,Machine_learning,deep_learning,English
0,Data Analyst H/F,ACII,40000.0,37,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,Développeur Java & PHP - Full stack - H/F,Golden Bees,34000.0,75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,Développeur COBOL - RDZ (H/F) / Freelance,HR-TEAM,410.0,75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3,Développeur Python/ Django (H/F) / Freelance,HR-TEAM,475.0,75,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
4,Devops Engineer (H/F) / Freelance,HR-TEAM,575.0,75,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5,Développeur Front-End H/F,My PepIT,60000.0,92,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,3,0,0,0,0,0,0
6,Développeur informatique H/F,Upswing Engineering,50000.0,92,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
7,DÉVELOPPEUR BACK-END PYTHON | FASHIONTECH,Urban Linker,52500.0,75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Développeur .Net WPF Senior / Freelance,GROUPE HN,345.0,75,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Développeur Java H/F,My PepIT,60000.0,92,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,2,0,3,0,0,0,0,0,0
10,Devops Engineer (H/F) (IT),HR-TEAM,57500.0,75,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
11,Devops AWS (H/F) (IT),HR-TEAM,57500.0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0
12,Développeur Front-End H/F,HCUB3,43075.5,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0
13,Data Analyst H/F,NOT SO DARK,45000.0,75,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,DATA ANALYST / SCIENTIST (H/F) / Freelance,FRISBEE PROFILING,400.0,94,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
15,TRES URGENT - DATA ANALYST - 6 MOIS RECONDUCTIBLES - TELETRA...,ALLEGIS GROUP,475.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
16,Lead développeur Java H/F,Levertech Consulting,56000.0,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0
17,DATA ANALYST H/F,Clint & Associés,39000.0,75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Développeur .NET H/F,INFORMATIS,40000.0,75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Développeur web full - stack (h/f),SERVICES AND CO,42000.0,77,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0
20,Ingénieur DevOPS H/F,NW SERVICES,41000.0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Data Analyst H/F,Mediapart,45000.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
22,Développeur C++ H/F,ATEMPO,36000.0,91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
23,Data Analyst H/F,CHRONOFRESH,37500.0,75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Chargé(e) d’études – Data Analyst – Data Scientist Junior,HOLOMNIS,38000.0,75,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Devops (h/f),SERVICES AND CO,42000.0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,Data Analyste Junior H/F (IT),BI NEWVISION,37000.0,75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Data Engineer analyst H/F,BEAH,57500.0,75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
28,Développeur backend PHP - secteur de l'immobilier,Eyetech Solutions,42500.0,75,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0
29,Data Analyst F/H,Kent FR,47500.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
30,Data Analyst F/H,Kent FR,450.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,Développeur Microsoft Dynamics 365 / Freelance,UMANIS,47500.0,75,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,Développeur Microsoft Dynamics 365 / Freelance,UMANIS,450.0,75,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,Développeur Backend Python | Animation / Video Games,EKYP,52500.0,75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
34,Data Analyst H/F,Andjaro,65000.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,Data Analyst H/F,Andjaro,42500.0,75,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,DÉVELOPPEUR REACT/NODE JS PARIS 18ÈME (H/F),Connectt Travail Temporaire,65000.0,75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
