,Title,Location,Company,Rating,Salary,Synopsis
0,Data Analyst - Manufacturing,Télétravail in Paris (75),Ledger,None,None,"Ledger is one of the fastest growing tech companies in France, part of the Next40, and already a global leader in crypto asset security. Within the Data Team, working closely with our manufacturing & supply chain team, the Data Analyst is in charge of extracting meaningful insights and recommendations leveraging data and technology. You will be working in a fast moving industrial environment
In this role, you will:
Use data science techniques to optimise production (eg: detect anomalies in our production line using computer vision, …)
Build performance tracking and exception tracking dashboards that cover key processes in the supply chain network from sourcing (shortages, inbound quality) and manufacturing (schedule adherence, capacity utilization, yield curve, inventory positions, etc.) to customer fulfillment (on time delivery, etc.), …
Be the central point of contact for all data related to Manufacturing & Supply chain
Coordinate efforts with our data engineering team to capture relevant data points enabling you to run relevant data projects
Identify early signals of an emerging problem and make recommendations to take rapid actions
Create and deliver presentations to synthesise complex ideas into actionable recommendations
Run analysis on various projects to ensure decisions are data driven
Required qualifications:
Demonstrated ability to translate analytical insights into clear recommendations and effectively communicate them to technical and non-technical stakeholders
Extensive experience with Python and software engineering fundamentals
Deep understanding of advanced SQL techniques
Curiosity about the problem domain and an analytical and business-oriented approach
Excellent organizational and time management skills
Fluent in English
Knowledge of Data Visualization Tools - Tableau is a plus
Industrial background is a plus
Benefits:
Join one of the fastest growing technology companies in Europe
Learn rare blockchain data skills which are in high demand in the market
Competitive compensation package and ESOP according to the Company policy
Flexible working hours, remote-friendly environment
Strong focus on personal development including internal/external trainings and attendance to conferences
Internal talks, technical meetups and hackathons
High performance office equipment
Comprehensive health insurance policy offering extensive medical, dental and vision care coverage
Meal Vouchers with Swile (ex Lunchr)
Annual company outing for Ledgerdary Days plus infrequent parties, snacks and drinks
Employee discount on Ledger products
Ledger guarantees equal opportunity for all during the recruitment process, without any distinction of gender, ethnicity, religion, sexual orientation, social status, disability or age."
1,AI/RAN automation : data driven development - Join the R&D c...,Paris (75),Ericsson,4.1,None,"We are building a new R&D team in Massy, France, including a Standards & Technology unit, part of Development Unit Network’s global Standards & Technology organization. At Development Unit Networks, Standards & Technology secure technology leadership in Radio Access Networks (RAN) by actively driving New Concepts, Standardization, SW- and HW Research, Architecture and Testbeds. Technical focus includes 5G evolution, IoT, Digital twins, Automation / Machine Learning and Security.
We are looking for new members in our RAN automation team, where we create our strategy, conduct research studies, and build proof of concepts in this highly strategic area of mobile communication!
You are a Senior Researcher with focus on AI and automation, and with solid expertise in radio network and telecommunication systems.
In this role, you will:
Collaborate in a cross-organizational team and have opportunities to work with top industry researchers on the latest technologies. Actively develop, evaluate, and drive technology, R&D and product strategies and lead topics that require industry alignment with customers and industry partners
Drive thought leadership, exploratory studies, and applied research for 5G/6G/Cloud RAN with a special focus on AI/ML and automation, doing so with a mid/long-term focus e.g., in the 2025 and beyond timeframe
Contribute to development of advanced concept evaluation tools such as large-scale RAN simulators (i.e. Digital Twins)
Act as an evangelizer by contributing expertise in AI and RAN automation, share your knowledge through technical presentations, and provide technical guidance to peers and management
To be successful in the role you have:
Deep experience in data science and data driven development, including machine learning, and simulation
Deep technical understanding of and experience with automation frameworks (e.g., Teraform, Ansible, Puppet, Chef, Kubernetes)
Solid background in RAN systemization/architecture work and/or management of radio networks and telecommunication systems. Focus on automated systems and adaptive radio algorithms
Experience in performance, configuration, fault handling, life cycle management and orchestration
Excellent drive and ability to execute, deciding & initiating action
Excellent networking, collaboration, communication and innovation skills with high energy and motivation
University degree: MSc, PhD or equivalent
Fluent English language skills in both writing and conversation. French language skills are a plus"
2,Data Engineer Junior CDI - H/F,Paris (75),Capgemini,3.8,None,"Qui sommes nous ?
Capgemini est un leader mondial du conseil, de la transformation numérique, des services technologiques et d’ingénierie. A la pointe de l’innovation, le Groupe aide ses clients à saisir l’ensemble des opportunités que présentent le cloud, le digital et les plateformes.
Notre Practice Insights & Data s’appuie sur l’excellence technologique, la gestion des données, ainsi que l’expertise propre aux activités métiers et aux secteurs. Notre quotidien est d’aider pour aider les entreprises à réaliser de précieuses analyses exploitables à partir de leurs données internes et externes. En France, nous sommes une équipe de 500+ passionné(e)s et nous avons pour ambition de continuer à grandir.
Nous avons donc hâte de rencontrer notre prochain(e) Data Engineer !
VOTRE ROLE, VOS COMPETENCES
Diplômé(e) de Bac+5 en informatique, vous comptez au moins 1 ans d’expérience (stage et alternance comprises) en tant que data engineer.
If you are not fluent in English and do not like technical development, this job ad is not made for you !
Les plus du poste
En plus de votre quotidien, vous pourrez entreprendre, être formé, utiliser nos incubateurs pour innover, et vous dessiner une trajectoire de carrière personnalisée.
Vous intégrerez une équipe ambitieuse, fun et dynamique !
Une culture forte et bienveillante, et une grande place laissée à la libertéDes clients variés, leaders de leur secteurUne approche pragmatique, qui répond aux vrais enjeux des entreprisesUn véritable accompagnement dans l’évolution de votre carrièreUne équipe à taille humaine, en renouvellement et en hyper croissanceUne priorité accordée au développement des collaborateurs – un management qui aide les équipes à progresser, à réussir
Quelle est la suite ?
Nous vous proposons un processus de recrutement court, un accompagnement personnalisé, une évolution qui s’adapte à vous.
CAPGEMINI, Entreprise handi accueillante, conformément à la norme AFNOR NF X50-783, est également signataire de la charte de la diversité en entreprise"
3,Référent Technique Sites Data Center Télécom F/H,Paris 17e (75),welinkit,5.0,None,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Référent Technique Sites Data Center Télécom. Vous participerez à la construction et au déploiement d’un nouveau réseau haut débit pour un opérateur français Télécoms. Sous le pilotage direct du manager du service, et en étroite collaboration avec les référents techniques nationaux, vous aurez comme responsabilité d’accompagner les chefs de projets lors des études relatives aux installations techniques des sites réseaux et de suivre ces dossiers pendant la phase de réalisation.
Dans ce cadre, vous devrez notamment :
Analyser les mémoires techniques et les plans proposés par les bureaux d’études.
Accompagner techniquement les chefs de projet.
S’imprégner de l’organisation du client.
S’imprégner des concepts techniques des installations télécom du client.
Rédiger tous les documents nécessaires au besoin.
Vous aurez également pour missions de :
Décliner les directives techniques déterminées par les référents techniques nationaux.
Accompagner les chefs de projet sur les problématiques liées à l’environnement technique des sites réseaux.
Identifier les risques et les discordances dans les dossiers techniques de présentation des projets et proposer des correctifs.
Définir et mettre à jour les documents de référence.
Assurer une veille technologique relative aux équipements d’énergie et de climatisation industriels.
Rédiger des notes techniques à destination des chefs de projet.


Profil recherché
Expertise dans l’ingénierie des installations d’énergie et de climatisation relatives aux infrastructures réseaux et IT.
Connaissance de la réglementation et des normes relatives aux installations électriques : courants alternatifs (230/400 V) et continus (48 V).
Connaissance des dispositifs de sûreté et de sécurité appliqués aux sites réseaux et informatiques de type data centers.
Connaissance du domaine immobilier industriel et de la réglementation afférente."
4,Chef de projet Déploiement Data Center Télécom F/H,Paris 17e (75),welinkit,5.0,None,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Chef de Projet Déploiement Data Center Télécom. Vous aurez en charge de piloter des projets de rénovation et d'évolution d'infrastructures télécoms, avec comme principales missions de :
Assurer la préparation, la planification et le suivi opérationnel des projets.
Contribuer à l'organisation des interventions des équipes techniques.
Participer à la conception et à la mise en oeuvre des Data Centers.
Avoir un rôle de MOE au niveau de la conception et de l'exécution dans les domaines des courants faibles, sûreté, sécurité incendie, extinction incendie, ...
Consulter les sous-traitants.
Prendre la responsabilité des travaux au sein des salles informatiques.
Gérer les budgets.
Manager les équipes techniques.


Profil recherché
De formation supérieure Télécom ou Electrotechnique.
Expérience d’au moins 3 ans dans la gestion de projets de déploiement d'infrastructures techniques (réseaux LAN, Wifi, ...).
Maîtrise des contraintes de déploiement et de pilotage des fournisseurs.
Très bonne connaissance des sites réseaux.

Compétences dans les domaines techniques Data Centers et sites réseaux (Electricité, Courants forts et faibles, climatisation, sûreté, anti intrusion, contrôle d'accès, sécurité, protection, extinction incendie, ...)."
5,Chef de projet Data Center expérimenté F/H,Strasbourg (67)+ 1 lieu,welinkit,5.0,None,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Chef de Projet Data Center expérimenté(e). Vous aurez en charge de piloter des projets de rénovation et d'évolution d'infrastructures télécoms, avec comme principales missions de :
Assurer la préparation, la planification et le suivi opérationnel des projets.
Contribuer à l'organisation des interventions des équipes techniques.
Participer à la conception et à la mise en oeuvre des Data Centers.
Avoir un rôle de MOE au niveau de la conception et de l'exécution dans les domaines des courants faibles, sûreté, sécurité incendie, extinction incendie, ...
Consulter les sous-traitants.
Prendre la responsabilité des travaux au sein des salles informatiques.
Gérer les budgets.
Manager les équipes techniques.


Profil recherché
De formation supérieure Télécom ou Electrotechnique.
Expérience d’au moins 5 ans dans la gestion de projets de déploiement d'infrastructures techniques (réseaux LAN, Wifi, ...).
Maîtrise des contraintes de déploiement et de pilotage des fournisseurs.
Très bonne connaissance des sites réseaux.

Compétences dans les domaines techniques Data Centers et sites réseaux (Electricité, Courants forts et faibles, climatisation, sûreté, anti intrusion, contrôle d'accès, sécurité, protection, extinction incendie, ...)."
6,Chef de Projet Exploitation Data Center F/H,Viroflay (78),welinkit,5.0,None,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Chef de Projet Exploitation Data Center qui aura pour principales missions :
La mise à disposition DOE, DIUO, Réglementaire, Travaux, Rapports de Maintenance, Conf Max et Liste des EET pour les sites cédés.
L'animation nationale des régions et des mainteneurs.
La préparation des cessions : tests, échanges avec les hébergeurs, suivi des réserves, visites sur site.
Le suivi du respect des engagements.
Le suivi des temps de rétablissement suite à des alarmes sur sites ou à des tests.
L'organisation des visites de réception pour la cession.
L'identification, la mise en place et le suivi des KPIs (GTR, levées des réserves, …).
Le suivi des évolutions sites.
Le support technique pour les spécifications des sites cédés/transférés.

Profil recherché
Ingénieur(e) de formation avec une expérience minimum de 3 ans en Data Center.

Agilité intellectuelle et sens de l'organisation."
7,Data scientist-(H/F),La Défense (92)+ 1 lieu,Société Générale,3.8,None,"Vos missions au quotidien
Vous savez « faire parler » les données pour créer de la valeur ? Le monde de la donnée vous intéresse et vous passionne ? Rejoignez-nous !
Au sein de l’Inspection Générale et de l’Audit (IGAD), vous intégrez le Data Lab en qualité de ""Data Scientist"". A ce titre, vous aurez en charge une thématique transverse (exploratoire) et pourrez participer, le cas échéant, à des projets plus opérationnels via des missions de l’Inspection Générale ou de l’Audit en priorité sur le périmètre de la Banque de Détail.
Un des projets transverses d’intérêt concerne les méthodes de Machine Learning appliquées au ""Nowcasting"" afin d'améliorer la connaissance instantanée des environnements économiques globaux par la prédiction d'indicateurs économiques (GDP, etc.).
Concrètement, vous serez amené(e) à :
Comprendre les besoins du projet que vous aurez à mener pour les traduire en termes de problématiques ""Data"" et proposer des solutions opérationnelles.
Identifier et participer à la collecte les données requises, en conformité avec les règles de sécurité de l’information.
Mener des travaux Data Science en accord avec les besoins du projet.
Présenter les résultats des analyses.
Mener une veille technologique et un partage d'expérience sur les sujets de Data Science tout en prenant part aux activités de recherche menées par le Data Lab.
Et si c’était vous ?
Vous êtes étudiant(e) de niveau Bac+4/5 en Ecole d’Ingénieur ou Université avec une spécialisation en Data Science.
Vous maîtrisez les méthodes de Data Science (NLP, Machine Learning, Deep Learning, etc.) et les langages de programmation utilisés dans l’analyse de données (Python, R, SQL, etc.) avec, dans l'idéal, des connaissances de l'environnement HADOOP/SPARK.
Vous êtes curieux(se), passionné(e), rigoureux(se), avec des capacités d’analyse et de synthèse.
Vous aimez relever des challenges et vous avez le sens du travail en équipe.
You're fluent in English ! Vous êtes notre candidat(e) idéal(e) !
Plus qu’un poste, un tremplin
Dès votre arrivée, vous serez intégré(e) dans nos équipes et apprendrez chaque jour aux côtés de nos experts qui vous accompagneront dans vos missions. Progressivement, vous gagnerez en autonomie sur vos projets pour faire de cette expérience un vrai accélérateur de carrière. Vous découvrirez également toute la diversité de nos métiers, dans un secteur qui évolue et innove en permanence.

A la fin de vos études, diverses opportunités pourront s’offrir à vous, en France et à l’international.
Pourquoi nous choisir ?
Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses.
Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN.
Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer !
Vous hésitez encore ?
Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples.
Nous sommes un employeur garantissant l'égalité des chances et nous sommes fiers de faire de la diversité une force pour notre entreprise. Le groupe s’engage à reconnaître et à promouvoir tous les talents, quels que soient leurs croyances, âge, handicap, parentalité, origine ethnique, nationalité, identité de genre, orientation sexuelle, appartenance à une organisation politique, religieuse, syndicale ou à une minorité, ou toute autre caractéristique qui pourrait faire l’objet d’une discrimination.
Référence: 220006CN
Entité: Fonctions centrales groupes
Date de début: 19/04/2022
Date de publication: 03/03/2022"
8,DATA SCIENTIST H/F,Paris (75),Option Intérim,None,40 000 € - 50 000 € par an,"Vos missions au quotidien
Vous savez « faire parler » les données pour créer de la valeur ? Le monde de la donnée vous intéresse et vous passionne ? Rejoignez-nous !
Au sein de l’Inspection Générale et de l’Audit (IGAD), vous intégrez le Data Lab en qualité de ""Data Scientist"". A ce titre, vous aurez en charge une thématique transverse (exploratoire) et pourrez participer, le cas échéant, à des projets plus opérationnels via des missions de l’Inspection Générale ou de l’Audit en priorité sur le périmètre de la Banque de Détail.
Un des projets transverses d’intérêt concerne les méthodes de Machine Learning appliquées au ""Nowcasting"" afin d'améliorer la connaissance instantanée des environnements économiques globaux par la prédiction d'indicateurs économiques (GDP, etc.).
Concrètement, vous serez amené(e) à :
Comprendre les besoins du projet que vous aurez à mener pour les traduire en termes de problématiques ""Data"" et proposer des solutions opérationnelles.
Identifier et participer à la collecte les données requises, en conformité avec les règles de sécurité de l’information.
Mener des travaux Data Science en accord avec les besoins du projet.
Présenter les résultats des analyses.
Mener une veille technologique et un partage d'expérience sur les sujets de Data Science tout en prenant part aux activités de recherche menées par le Data Lab.
Et si c’était vous ?
Vous êtes étudiant(e) de niveau Bac+4/5 en Ecole d’Ingénieur ou Université avec une spécialisation en Data Science.
Vous maîtrisez les méthodes de Data Science (NLP, Machine Learning, Deep Learning, etc.) et les langages de programmation utilisés dans l’analyse de données (Python, R, SQL, etc.) avec, dans l'idéal, des connaissances de l'environnement HADOOP/SPARK.
Vous êtes curieux(se), passionné(e), rigoureux(se), avec des capacités d’analyse et de synthèse.
Vous aimez relever des challenges et vous avez le sens du travail en équipe.
You're fluent in English ! Vous êtes notre candidat(e) idéal(e) !
Plus qu’un poste, un tremplin
Dès votre arrivée, vous serez intégré(e) dans nos équipes et apprendrez chaque jour aux côtés de nos experts qui vous accompagneront dans vos missions. Progressivement, vous gagnerez en autonomie sur vos projets pour faire de cette expérience un vrai accélérateur de carrière. Vous découvrirez également toute la diversité de nos métiers, dans un secteur qui évolue et innove en permanence.

A la fin de vos études, diverses opportunités pourront s’offrir à vous, en France et à l’international.
Pourquoi nous choisir ?
Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses.
Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN.
Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer !
Vous hésitez encore ?
Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples.
Nous sommes un employeur garantissant l'égalité des chances et nous sommes fiers de faire de la diversité une force pour notre entreprise. Le groupe s’engage à reconnaître et à promouvoir tous les talents, quels que soient leurs croyances, âge, handicap, parentalité, origine ethnique, nationalité, identité de genre, orientation sexuelle, appartenance à une organisation politique, religieuse, syndicale ou à une minorité, ou toute autre caractéristique qui pourrait faire l’objet d’une discrimination.
Référence: 220006CN
Entité: Fonctions centrales groupes
Date de début: 19/04/2022
Date de publication: 03/03/2022"
9,Développeur Data (F/H),Hybrid remote in Montmélian (73)+ 1 lieu,WiiSmile,4.4,36 000 € - 39 000 € par an,"Notre entrepriseVous êtes, vous aussi, convaincu.e qu'un salarié engagé participe à la performance de son entreprise. Et si votre quotidien consistait à contribuer au développement d'applicatifs qui permettent de donner le sourire aux salariés de PME en leur apportant des avantages inégalés à ce jour ? Imaginez une solution tout en un qui reprend le meilleur des chèques cadeaux, vacances et de tous les avantages des grands comités d'entreprise.Cette solution existe, elle s'appelle WiiSmile.Avec + de 30% de croissance et déjà 8500 PME qui nous font confiance et plus de 100 000 salariés bénéficiaires, WiiSmile recherche un.e Développeur Data (F/H) pour accompagner les nombreux projets qu'elle ambitionne.Alors ?! Envie de participer à de beaux défis de transformation en contribuant au développement d'applicatifs de qualité pour nos adhérents ?!Vous souhaitez rejoindre une entreprise dynamique et innovante, où le bien-être des salariés est au coeur des préoccupations ... Rejoignez notre folle aventure !Vos missionsPoste en CDI - Temps plein 39h/semaine - basé à Montmélian (15 minutes de Chambéry) - A pourvoir dès que possibleIntégré.e à une équipe Agile, vous participez aussi bien à des projets tournés vers nos clients (création de nouveaux services, amélioration des services existants) qu'à des évolutions de nos applicatifs internes (en particulier, dans le cadre de gros projets de refonte et modernisation de ceux-ci), qui vous donnent l'opportunité de percevoir très directement l'impact concret de votre travail.Dans ce cadre, vous assurez, dans le respect des méthodes et process WiiSmile, les développements informatiques relatifs :à la gestion des données applicatives de notre SI (typiquement via des bases de données relationnelles)aux flux d'échanges de données entre composants de notre SI (processus de type ETL)à la mise à disposition de ces données aux utilisateurs métiers via des outils de visualisation et d'analyse (BI...)Pour ce faire, vous :menez à bien l'analyse et la conception en collaboration avec le leader technique (et participez à ce titre aux choix d'architecture et de solutions techniques) et les product owners (pour la dimension métier de ces développements)réalisez les développements en collaboration avec les autres membres de l'équipe technique (autres développeurs Data, équipe API, équipe infrastructure/sécurité, testeurs)vous assurez de la qualité et de la justesse des donnéesparticipez à l'exploitation (surveillance) des processus produitsVotre profilIssu.e d'une formation en informatique (Bac+ 3 minimum), vous justifiez d'une expérience de 1 an à 3 ans sur des fonctions similaires dans un contexte agile.Vous maitrisez idéalement :un langage de programmation (Java, C#, JavaScript, PHP...)la modélisation et le requêtage des bases de données SQL (SQLServer, Oracle, PostgreSQL...) avec, à minima, un premier niveau de connaissance des bases NoSQL.Vous avez au moins un premier niveau de connaissance des approches ETL et utilisez un outil du marché dans ce domaine. Une connaissance de l'outil Stambia est un plus !Si vous avez des connaissances et/ou une première expérience sur les principes et architectures BI et Datawarehouse avec pratique d'un ou plusieurs outils du marché, cela sera très apprécié.Une expérience pratique sur l'une des principales plateformes de Cloud public (AWS, Azure, GCP) est un plus !Ce métier nécessite d'être flexible, proactif et de savoir s'adapter à un contexte évolutif. Doté.e d'une facilité à communiquer en toute transparence, vous êtes autonome tout en ayant l'esprit d'équipe et de solidarité. Orienté.e qualité, vous faites preuve de rigueur. Une bonne organisation et gestion des priorités sont des atouts majeurs pour ce poste.Package attractifRémunération brute annuelle de 36K€ à 39K selon expérienceMutuelle familiale prise en charge à 100% par l'entrepriseIntéressementTélétravail partiel possibleEt bien entendu, les avantages du service WiiSmile !Type d'emploi : CDI"
