,poste,Departement,experience,Contrat,Statut,dureeTravail_annuelle,bac+,Anglais,langages_programmation,langages_Web,bases_donnees,BI_soft,Salaire_Annuel
0,data scientist,75,2.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,45000.0
1,data manager,75,5.0,cdi,9.0,1716.0,4.0,0,0,0,0,1,47500.0
2,developpeur big data,75,0.0,cdi,9.0,1606.0,5.0,0,0,0,0,0,40500.0
3,developpeur big data,75,0.0,cdi,9.0,1606.0,5.0,0,0,0,0,0,52500.0
4,developpeur big data,75,0.0,cdi,9.0,1606.0,5.0,0,0,0,0,0,70000.0
5,consultant data,92,3.0,cdi,7.0,1540.0,2.0,0,1,0,0,0,32000.0
7,data analyst,92,1.0,cdd,5.0,1540.0,4.0,0,0,0,1,1,13200.0
8,data engineer,91,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,70000.0
9,data engineer,75,5.0,cdi,9.0,1716.0,5.0,1,1,0,0,1,41598.0
5,data manager,28,3.0,cdd,9.0,1540.0,4.0,1,1,1,0,0,34500.0
10,data manager,37,2.0,cdi,9.0,1540.0,4.0,0,0,0,1,0,40000.0
13,developpeur big data,45,5.0,cdi,9.0,1540.0,5.0,0,1,0,0,0,38500.0
14,data engineer,37,5.0,cdi,9.0,1540.0,5.0,0,1,0,1,1,38500.0
15,data scientist,37,3.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,42500.0
19,data manager,45,5.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,47500.0
20,data analyst,37,2.0,cdi,9.0,1694.0,4.0,1,1,0,0,0,55000.0
21,data analyst,45,1.0,cdd,7.0,1540.0,5.0,0,0,0,0,1,18654.0
23,data analyst,37,2.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,40000.0
27,data analyst,45,1.0,cdi,6.0,1540.0,0.0,0,0,0,0,0,20280.0
1,data analyst,21,3.0,cdi,9.0,1672.0,2.0,0,0,0,0,1,38500.0
5,data manager,25,0.0,cdd,7.0,1540.0,3.0,0,0,0,0,0,19237.620000000003
1,consultant data,61,1.0,cdi,6.0,1716.0,2.0,0,0,0,0,0,22000.0
7,data engineer,76,1.0,cdi,9.0,1540.0,5.0,0,1,0,1,0,50000.0
13,developpeur big data,59,2.0,cdi,9.0,1540.0,4.0,0,1,0,1,0,30000.0
16,data scientist,59,2.0,cdd,9.0,1540.0,4.0,0,0,0,0,0,13758.0
23,data engineer,62,1.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,50000.0
24,consultant data,59,2.0,cdi,9.0,1540.0,4.0,1,0,0,0,0,40000.0
26,data engineer,59,3.0,cdi,9.0,1540.0,5.0,1,1,0,1,0,45000.0
27,data manager,59,1.0,mis,8.0,1540.0,1.0,0,0,0,0,0,26070.196425000002
29,data engineer,59,5.0,cdd,9.0,1540.0,3.0,0,0,0,0,0,30000.0
31,developpeur big data,59,1.0,cdi,9.0,1540.0,5.0,1,1,0,0,1,38400.0
35,data analyst,59,3.0,cdi,9.0,1540.0,5.0,0,1,1,1,1,37500.0
37,data manager,59,4.0,cdi,8.0,1540.0,3.0,1,0,0,0,0,33000.0
39,developpeur big data,59,2.0,cdi,9.0,1672.0,5.0,1,1,0,1,0,40000.0
40,data analyst,59,2.0,cdi,9.0,1672.0,4.0,1,1,0,1,1,38500.0
51,data analyst,59,5.0,cdi,9.0,1540.0,4.0,0,0,0,1,1,42500.0
57,data manager,59,1.0,mis,8.0,1540.0,1.0,0,0,0,0,0,23490.0
60,data scientist,59,3.0,cdi,9.0,1694.0,5.0,0,1,0,1,0,32500.0
66,data analyst,59,3.0,cdi,9.0,1540.0,5.0,0,1,1,1,1,44000.0
71,data analyst,59,3.0,cdi,9.0,1540.0,3.0,1,0,0,0,0,42500.0
0,data engineer,67,2.0,cdi,9.0,1540.0,5.0,0,0,0,1,0,47500.0
5,data analyst,67,2.0,cdd,8.0,1540.0,4.0,0,0,0,0,0,31500.0
7,data scientist,68,2.0,cdi,9.0,1540.0,5.0,0,0,0,0,0,42500.0
8,data analyst,68,0.0,cdi,6.0,1540.0,2.0,1,0,0,0,0,30500.0
10,data analyst,68,1.0,cdi,9.0,1540.0,3.0,0,1,0,0,0,28000.0
18,data manager,68,2.0,cdi,9.0,1716.0,5.0,1,1,0,0,0,47500.0
0,data analyst,85,3.0,cdi,9.0,1540.0,2.0,1,0,0,0,1,47500.0
2,consultant data,53,3.0,cdi,8.0,1716.0,2.0,0,1,0,0,1,22000.0
4,consultant data,49,0.0,cdi,8.0,1540.0,2.0,0,0,0,0,0,28500.0
11,data analyst,44,1.0,cdi,9.0,1540.0,3.0,0,1,0,1,1,35000.0
