,Unnamed: 0,id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,competences,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,nombrePostes,accessibleTH,qualificationCode,qualificationLibelle,secteurActivite,secteurActiviteLibelle,qualitesProfessionnelles,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,entreprise.entrepriseAdaptee,salaire.libelle,origineOffre.origine,origineOffre.urlOrigine,offresManqueCandidats,entreprise.description,entreprise.logo,entreprise.url,contact.nom,contact.coordonnees1,contact.courriel,deplacementCode,deplacementLibelle,salaire.complement1,salaire.complement2,formations,contact.urlPostulation,langues,origineOffre.partenaires,salaire.commentaire,permis,experienceCommentaire,contact.coordonnees2,contact.coordonnees3,agence.courriel,complementExercice,contact.commentaire,Salary
0,0.0,129CXPH,Senior Algorithm Engineer / Data Scientist (H/F),"Présentation de l'entreprise : 

Kicklox est une plateforme d'ingénierie et de conseil en technologies. Concrètement, nous facilitons la rencontre entre des ingénieurs à la recherche d'un prochain défi, et nos clients qui recherchent de nouvelles compétences pour intervenir au sein de leur effectif.

Nous fédérons aujourd'hui une communauté de 70.000 ingénieurs, qui trouvent leur prochain projet sur Kicklox grâce à notre plateforme digitale qui permet d'initier des processus de candidature en ligne. Retrouvez également toutes nos offres sur notre site internet, page ""nos offres"".




Description du poste :




Déploiement et mise en forme d'algorithmes de qualité production pour des ""wearable"" - dispositif médical.
Travailler sur AWS en tirant parti des services gérés et de l'open source lorsque cela est possible.
Traitement du signal et apprentissage automatique.
Travailler avec le filtrage adaptatif, la classification, la génération de modèles et le clustering (mathlab/python..).
Prototype d'algorithmes basés sur la littérature scientifique publiée.
Travailler avec des signaux d'accéléromètre et de photopléthysmographie.

- Connaissance de C/C++ pour le développement de systèmes embarqués.
- Connaissance de Gitlab
- De l'expérience dans le domaine des Smart Wearables/technologies de santé personnelle.
- Connaître les méthodes de traitement des signaux et l'utilisation de logiciels d'analyse et de simulation, les algorithmes de détection des signes vitaux, etc.",2022-03-03T15:22:24.000Z,2022-03-03T15:22:24.000Z,M1403,Études et prospectives socio-économiques,Data scientist,CDI,Contrat à durée indéterminée,Contrat travail,E,2 ans,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ..."", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '118732', 'libelle': 'Réaliser une veille documentaire (collecte, analyse etc.)', 'exigence': 'S'}, {'code': '122609', 'libelle': ""Définir les méthodes et les outils de traitement de l'information"", 'exigence': 'S'}]",35H Horaires normaux,Temps plein,False,1.0,False,9.0,Cadre,62.0,Programmation informatique,"[{'libelle': 'Autonomie', 'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable'}, {'libelle': 'Persévérance', 'description': ""Capacité à maintenir son effort jusqu'à l'achèvement complet d'une tâche, quels que soient les imprévus et les obstacles de réalisation rencontrés. Exemple : faire preuve de volonté, d'assiduité, de régularité, rebondir après une erreur""}, {'libelle': 'Sens de la communication', 'description': ""Capacité à transmettre clairement des informations, à échanger, à écouter activement, à réceptionner des informations et messages et à faire preuve d'ouverture d'esprit. Exemple : être à l'écoute, être attentif aux autres""}]",75 - PARIS 08,48.859,2.347,75008.0,75108.0,KICKLOX,False,Annuel de 35000 Euros à 55000 Euros sur 12 mois,1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CXPH,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,129CRNR,Data manager,"BRAIN WORK OFFICE recrute un(e) DATA MANAGER en charge de gérer la collecte des taxes de formation professionnelle et d'apprentissage.

Vous assurez la mise en place et la maintenance des traitements des flux d'information vers différents destinataires. Vous paramétrez, contrôlez les bases de données puis mettez en place des tableaux de bord qui permettront une approche synthétique des résultats et surtout de déceler les incohérentes éventuelles.
Vous assurez l'interface et le dialogue avec les destinataires concernés afin de les aider à appréhender la gestion des données.
Vous maîtrisez les systèmes de base de données (extraction, fusion, traitements) et les principaux logiciels associés.
Votre connaissance des acteurs de la formation professionnelle (OPCO, CFA, CC, etc..) et les dispositifs et outils de la formation est indispensable pour être en phase avec ce poste. Votre sens relationnel vous permettra de travailler avec des interlocuteurs variés.

Statut cadre au forfait / 205 jours / an

De formation Master 2 traitement de l'information /exploitation de données ou Master 2 MIAGE ou Ingénieur en statistiques ou data management, vous avez une expérience de 5 ans minimum.
Vous avez une expérience dans le secteur de la formation professionnelle obligatoirement.",2022-03-03T13:53:07.000Z,2022-03-03T15:29:29.000Z,M1802,Expertise et support en systèmes d'information,Data manager,CDI,Contrat à durée indéterminée,Contrat travail,E,5 ans,"[{'code': '117369', 'libelle': 'Définir les caractéristiques techniques du produit', 'exigence': 'S'}, {'code': '120588', 'libelle': ""Concevoir l'architecture d'un système d'information"", 'exigence': 'S'}, {'code': '120724', 'libelle': 'Concevoir les solutions techniques', 'exigence': 'S'}, {'code': '120913', 'libelle': 'Évaluer le résultat de ses actions', 'exigence': 'S'}, {'code': '121286', 'libelle': ""Analyser les besoins d'un projet"", 'exigence': 'S'}]",39H Horaires normaux,Temps plein,False,1.0,False,9.0,Cadre,78.0,Activités des agences de travail temporaire,"[{'libelle': 'Autonomie', 'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable'}, {'libelle': 'Gestion du stress', 'description': 'Capacité à garder le contrôle de soi pour agir efficacement face à des situations irritantes, imprévues et stressantes. Exemple : garder son calme'}, {'libelle': 'Travail en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise en confiance et en transparence pour réaliser les objectifs fixés. Exemple : aider ses collègues, savoir demander de l'aide""}]",75 - PARIS 09,48.859,2.347,75009.0,75109.0,BWO,False,Annuel de 45000 Euros à 50000 Euros sur 12 mois,1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CRNR,False,"Brain Work Office (BWO) - Intérim/ CDD/ CDI- dédié au secteur Tertiaire :  Secrétariat/ Assistanat, Comptabilité/ Contrôle de gestion, Fonctions supports : standard, services généraux, RH ...
Depuis 1968, BWO intervient auprès d'une clientèle d'entreprises diversifiées : PME, Grands groupes  sur Paris  et sa petite couronne
Nous vous proposons un accompagnement  pro actif tout au long de votre process de recherche d'emploi . Consultez notre site bwo-interim.fr pour découvrir notre agence.
",https://entreprise.pole-emploi.fr/static/img/logos/eOrmT9twM2LvAZhiV728QDevmIkhlvTN.png,http://www.bwo-recrutement.fr,BWO - Mme nathalie JULIENNE,"Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/129CRNR","Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/129CRNR",,,,,,,,,,,,,,,,,
2,2.0,129CQNN,Mesure AFPR-POEI :Développeur / Développeuse Big Data,Cette offre concerne une mesure AFPR-POEI,2022-03-03T13:11:29.000Z,2022-03-03T15:24:39.000Z,M1805,Études et développement informatique,Développeur / Développeuse Big Data,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,36H30 Horaires normaux,Temps plein,False,1.0,,9.0,Cadre,62.0,Conseil en systèmes et logiciels informatiques,,75 - PARIS 16,48.859,2.347,75016.0,75116.0,,False,"Annuel de 40000,00 Euros à 41000,00 Euros sur 12 mois",1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CQNN,False,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,129CQNC,Mesure AFPR-POEI :Développeur / Développeuse Big Data,Cette offre concerne une mesure AFPR-POEI,2022-03-03T13:10:19.000Z,2022-03-03T13:10:24.000Z,M1805,Études et développement informatique,Développeur / Développeuse Big Data,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,36H30 Horaires normaux,Temps plein,False,1.0,,9.0,Cadre,62.0,Conseil en systèmes et logiciels informatiques,,75 - PARIS 16,48.859,2.347,75016.0,75116.0,,False,"Annuel de 50000,00 Euros à 55000,00 Euros sur 12 mois",1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CQNC,False,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,129CQMQ,Mesure AFPR-POEI :Développeur / Développeuse Big Data,Cette offre concerne une mesure AFPR-POEI,2022-03-03T13:09:15.000Z,2022-03-03T13:09:19.000Z,M1805,Études et développement informatique,Développeur / Développeuse Big Data,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,36H30 Horaires normaux,Temps plein,False,1.0,,9.0,Cadre,62.0,Conseil en systèmes et logiciels informatiques,,75 - PARIS 16,48.859,2.347,75016.0,75116.0,,False,"Annuel de 65000,00 Euros à 75000,00 Euros sur 12 mois",1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CQMQ,False,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,129CQFF,Technicien Frigoriste Itinérant - Data Center (H/F),"Pourquoi construire votre projet de carrière avec le Cabinet de Conseil et de Recrutement AgiLink RH ? 

Cabinet à taille humaine, AgiLink RH est spécialisé dans les domaines de l'Industrie et l'Ingénierie. Nous mettons à votre profit notre expertise dans les métiers du Génie Climatique, Electrique et Mécanique.

L'objectif premier d'AgiLink RH ? Vous accompagner et vous proposer des opportunités en CDI, qui répondent à vos projets de carrière et vous assurent stabilité et bien-être professionnel.

Sous des valeurs communes, nous créons des partenariats forts avec des TPE, PME et Grandes Entreprises. 

A la recherche d'un cabinet de recrutement favorisant la confiance et la transparence ? AgiLink RH est celui qu'il vous faut !

Quel est le défi qui vous est proposé ?

Poste : Technicien Frigoriste itinérant (92)

Localisation : itinérance au Nord-Ouest de l'Ile-de-France (92)

Missions : 
-	Intervenir sur des systèmes à détente indirecte et directe
-	Réaliser les interventions de dépannage de niveau 1 à 4
-	Mettre en service les équipements de réfrigération et de ventilation
-	Vérifier la conformité des installations, détecter les dysfonctionnements et déterminer les opérations de remise en état
-	Ajuster les mesures ainsi que les paramètres de régulation
-	Intervenir à partir de schémas fluidiques, mécaniques, d'automatismes sur les équipements
-	Remonter les informations nécessaires pour les devis de travaux d'amélioration ou de modification à votre responsable
-	Mettre à jour des cartes électroniques et des logiciels
-	Rédiger les comptes rendus d'intervention

Vos compétences techniques : CTA, Groupe à eau glacée/ Chillers, VRV, split, multisplit, PAC, CVC, chambres froides 

Et si nous parlions de vous ? 

-	Expérience de 3 à 10 ans sur un poste similaire : Technicien de maintenance CVC, frigoriste itinérant 
-	Attestation des fluides frigorigènes et/ou Habilitations Electriques / Permis B
-	Autonomie, rigueur, forte capacité d'adaptation 

Et qu'en est-il de votre futur contexte de travail ?

Le Technicien Frigoriste doit assurer la maintenance préventive et curative des équipements frigorifiques et climatiques de moyennes et grosses puissances, sur des sites sensibles.

Le salaire fixe sera selon expérience et compétences, à cela s'ajoute un panier repas journalier et diverses primes annexes. 

Comment saisir cette opportunité AgiLink RH ? Rien de plus simple !

Si vous souhaitez donner un nouvel élan à votre carrière, AgiLink RH saura révéler l'étincelle à l'origine de votre succès !",2022-03-03T12:53:07.000Z,2022-03-03T12:53:09.000Z,I1306,"Installation et maintenance en froid, conditionnement d'air",Technicien / Technicienne frigoriste,CDI,Contrat à durée indéterminée,Contrat travail,E,3 ans,"[{'code': '106740', 'libelle': ""Positionner et fixer les groupes, condenseurs, tubes, câbles électriques, ... de l'installation frigorifique, de conditionnement d'air, ..."", 'exigence': 'S'}, {'code': '106742', 'libelle': ""Vérifier la conformité de l'installation, contrôler l'étanchéité et déterminer la charge de fluide frigorigène, tirer au vide l'installation et charger le circuit"", 'exigence': 'S'}, {'code': '106743', 'libelle': ""Démarrer l'installation, ajuster les réglages (paramètres de fonctionnement, de régulation, températures, pressions, ...)"", 'exigence': 'S'}, {'code': '124394', 'libelle': 'Corriger un dysfonctionnement', 'exigence': 'S'}, {'code': '124395', 'libelle': ""Déterminer l'opération de remise en état d'une installation"", 'exigence': 'S'}]",35H Horaires normaux,Temps plein,False,1.0,False,7.0,Technicien,78.0,Activités des agences de placement de main-d'œuvre,"[{'libelle': ""Capacité d'adaptation"", 'description': ""Capacité à s'adapter à des situations variées et à s'ajuster à des organisations, des collectifs de travail, des habitudes et des valeurs propres à l'entreprise. Exemple : être souple, agile, s'adapter à une situation imprévue""}, {'libelle': 'Autonomie', 'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable'}, {'libelle': 'Rigueur', 'description': ""Capacité à respecter les règles et codes de l'entreprise, à réaliser des tâches en suivant avec précision les procédures et instructions fournies , à transmettre des informations avec exactitude. Exemple : être ponctuel, respecter les engagements, résister à la distraction""}]",92 - GENNEVILLIERS,48.93113,2.294231,92230.0,92036.0,AGILINK RH,False,"Annuel de 28000,00 Euros à 36000,00 Euros sur 13 mois",1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CQFF,False,"Cabinet à taille humaine, proche de ses partenaires et de ses candidats. AgiLink RH c'est le Cabinet de recrutement spécialisé en Industrie et Ingénierie qui propose exclusivement des CDI et CDD. Il répond aux besoins des sociétés et aux attentes des candidats à la recherche de stabilité et de bien-être au travail.

AgiLink RH s'attache à répondre à l'ensemble de ses partenaires (PME, Grandes entreprises) et peut s'appuyer sur son expertise dans le domaine du Génie-climatique et Electrique. 
",https://entreprise.pole-emploi.fr/static/img/logos/vYlCxbyPL0DDYT4gUVsntGf5AGDtSh84.png,http://agilinkrh.com,AGILINK RH - Mme hamida MAMACHE,"Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/129CQFF","Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/129CQFF",4.0,Quotidiens Départemental,Primes,Restauration,,,,,,,,,,,,,
6,6.0,129CPBR, Ingénieur Avant-Vente - Solutions Data  (H/F),"Ingénieur Avant-Vente - Solutions Data - (H/F)

Rattaché(e) à  la division Solutions & Innovations vous accompagnez les partenaires sur tous types de projets autour des solutions réseaux, sécurité, collaboration, virtualisation, Data Center, IoT, Cloud 

Nos services s'articulent autour de l'avant-vente, démonstrations de solutions, proof of concept et transfert de compétences.

En réel Business Partner, vous apportez une réelle valeur ajoutée au Business en offrant un support technique performant sur des offres technologiquement complexes. Nous sommes à la recherche d'un ingénieur avant-vente disposant de compétences en solutions Data qui sera dédié à la plateforme IBM Cloud Pak for Data. .

 

Missions principales :

Assurer le support technique avant-vente à l'équipe commerciale 

Accompagner et conseiller les partenaires dans leurs projets Data Analytics

Animer des ateliers techniques avec les partenaires (sur Paris et en région)

Présenter les offres et former les partenaires sur les offres Analytics de notre catalogue

Assurer des démonstrations des produits installés.

Etre capable de réaliser des Proof Of Concept sur les offres Analytics

 

Qualifications 

Expérience :

Expérience de 3 ans minimum sur une fonction similaire chez un éditeur de logiciels ou dans le secteur des services.

 

Diplômes :

Formation supérieure Bac+5 de type Ecole d'Ingénieur

 

Connaissances, compétences et aptitudes requises :

Compétences dans le monde de la Data

Sens du service client, et capacité à créer des liens entre des métiers très hétérogènes tels que le marketing, l'analytique et l'informatique.

Autonomie et esprit d'initiative

Maîtrise de la langue anglaise à l'oral comme à l'écrit",2022-03-03T12:21:53.000Z,2022-03-03T12:22:07.000Z,M1706,Promotion des ventes,Ingénieur / Ingénieure de promotion des ventes,CDI,Contrat à durée indéterminée,Contrat travail,E,3 ans,"[{'code': '100343', 'libelle': 'Législation sociale', 'exigence': 'S'}, {'code': '118742', 'libelle': ""Concevoir la campagne promotionnelle d'un produit"", 'exigence': 'S'}, {'code': '119815', 'libelle': 'Déterminer les caractéristiques des supports publicitaires', 'exigence': 'S'}, {'code': '121391', 'libelle': 'Analyser des informations sur un produit ou une gamme', 'exigence': 'S'}, {'code': '123565', 'libelle': ""Suivre le déroulement d'une campagne promotionnelle"", 'exigence': 'S'}]",35H Horaires normaux,Temps plein,False,1.0,False,9.0,Cadre,70.0,Conseil pour les affaires et autres conseils de gestion,"[{'libelle': 'Gestion du stress', 'description': 'Capacité à garder le contrôle de soi pour agir efficacement face à des situations irritantes, imprévues et stressantes. Exemple : garder son calme'}, {'libelle': 'Capacité de décision', 'description': 'Capacité à faire des choix pour agir, à prendre en charge son activité et à rendre compte, sans devoir être encadré de façon continue. Exemple : savoir faire des choix'}, {'libelle': ""Sens de l'organisation"", 'description': 'Capacité à planifier, à prioriser, à anticiper des actions en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser. Exemple : planifier, ordonner ses actions par priorité'}]",92 - COLOMBES,48.92239,2.247799,92700.0,92025.0,DANITIS,False,"Annuel de 65000,00 Euros à 70000,00 Euros sur 12 mois",1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CPBR,False,,,,,https://jobs.danitis.com/careers/24333-General/jobs/14941525-Ingnieur-AvantVente--Solutions-Data--HF/?host=jobs.danitis.com,,,,,,"[{'codeFormation': '31054', 'domaineLibelle': 'informatique', 'niveauLibelle': 'Bac+5 et plus ou équivalents', 'exigence': 'E'}]",https://jobs.danitis.com/careers/24333-General/jobs/14941525-Ingnieur-AvantVente--Solutions-Data--HF/?host=jobs.danitis.com,,,,,,,,,,,
7,7.0,129CNSL,DATA ANALYST - ALTERNANCE (H/F),"DATA ANALYST - ALTERNANCE - r2022030079

Alternant Data Analyst - Service BI Data Analyst

En recherche permanente de nouveaux talents pour répondre à notre croissance exponentielle, nous avons besoin de VOUS en qualité de Data Analyst ! Décrochez votre alternance en rejoignant dès Juillet 2022 notre équipe BI Data Analyst basée à Antony !

Vos responsabilités :
- Promouvoir et accompagner les métiers sur la culture de l'analyse des données
- Être force de proposition dans l'accompagnement des métiers et solutions envisagées
- Mettre en place et/ou proposer des améliorations (technologies/outils) permettant des analyses plus efficaces
- Rendre la donnée accessible pour nos collaborateurs
- Développer et mettre à disposition des directions les indicateurs clés et KPI métiers
- Créer des reporting Business & solutions d'autonomie métiers
- Formateur des Keys Users et utilisateurs
- Proposer / renforcer la formation visant à rendre autonome nos différents métiers
- Participer activement à la communauté des utilisateurs

- Référent métier au sein de la Direction Business Data & BI
- Porter et accompagner les besoins métiers et évolutions de sources auprès de l'équipe « Infra & Développement »
- A l'inverse, véhiculer les bonnes pratiques auprès de nos métiers fonction de nos architectures décisionnelles et systèmes d'information

Vous êtes la personne idéale si :
- Vous préparez une formation type BAC +4/5, Master ou Ecole d'Ingénieur en Data Analytics ;
- Vous avez une première expérience sur un poste similaire ;
- Vous êtes conn-u-e et reconnu-e pour votre relationnel, votre autonomie, votre rigueur et votre sens du service ;
- Vous avez une appétence pour l'innovation et êtes passionné.e par la Data ;
- Vous avez une bonne connaissance des langages d'exploration/manipulation de données (SQL/M/DAX/VB) et une maîtrise des outils bureautiques ;
- Vous avez un casier judiciaire vierge ;

A nos côtés vous pourrez :
- Bénéficier d'un accompagnement personnalisé tout au long de votre parcours ;
- Profiter d'un tremplin de carrière grâce à notre parcours d'évolution ;
- Contribuer à la croissance d'une entreprise qui s'engage au quotidien pour un monde plus sûr, plus juste et plus durable ;
- Evoluer dans un environnement de travail innovant grâce à nos développements technologiques et à des projets ambitieux ;
- Travailler aux côtés d'équipes engagées et passionnées ;





",2022-03-03T12:16:13.000Z,2022-03-03T15:27:19.000Z,M1403,Études et prospectives socio-économiques,Data analyst,CDD,Contrat à durée déterminée - 6 Mois,Contrat apprentissage,E,1 an,"[{'libelle': 'Relationnel', 'exigence': 'S'}, {'libelle': 'autonomie', 'exigence': 'S'}, {'libelle': 'rigueur et sens du service', 'exigence': 'S'}]",35H Horaires normaux,Temps plein,True,1.0,False,5.0,Employé non qualifié,80.0,Activités liées aux systèmes de sécurité,,92 - ANTONY,48.750996,2.297814,92160.0,92002.0,VERISURE,False,Mensuel de 1100 Euros,1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CNSL,False,"Parce que la sécurité est un besoin que nous partageons tous, nos 3.590 collaborateurs présents sur l'ensemble du territoire, s'investissent au quotidien pour sécuriser et protéger nos 550 000 clients nous faisant déjà confiance.
Nous cultivons la passion, l'innovation, l'engagement et le goût du travail en équipe dans tout ce que nous faisons. 

Rejoindre Verisure c'est s'inscrire dans une dynamique collective forte où la réussite de chacun est une chance pour tous !",https://entreprise.pole-emploi.fr/static/img/logos/bQMsY0NUsww5One7fN6fM5uatTs9qQs8.png,https://carriere.verisure.fr/,VERISURE - M. Franck DULAC,https://ars2.equest.com/?response_id=a8453b977ce06360836911dd068910f9,,,,,,,https://ars2.equest.com/?response_id=a8453b977ce06360836911dd068910f9,,,,,,,,,,,
8,8.0,129CNBX,CHIEF DATA OFFICER   (H/F),"Equipement de la Maison recrute un/une CHIEF DATA OFFICER 

La Direction de l'Organisation et des Systèmes d'Information (DOSI) est en charge du pilotage de l'ambitieux portefeuille de projets mis en place par ITM EM afin de soutenir et accélérer sa transformation pour devenir un acteur du commerce pleinement omnicanal.

Structure transverse essentiellement composée de chefs de projets, la DOSI pilote et coordonne des projets variés et innovants tels que le déploiement de SAP pour la gestion commerciale, la gestion de l'offre et du référentiel, le CRM (DMP, RCU, Fidélisation ), la Digitalisation des points de vente, la data, le reporting 

Dans ce cadre, nous recherchons un Chief Data Officier H/F en CDI.

Le Chief Data Officer sera notamment en charge de mener des projets à leur terme et qui constituent le programme de transformation, et aura en responsabilité la structuration, la coordination et le suivi des actions, l'animation des contributeurs, le reporting des projets de son périmètre.

Rôle :

Le Chief Data Officer créera et prendra en charge la définition de toute la stratégie data en terme de gouvernance, exploitation de la donnée ainsi que sa valorisation.

Il applique sa méthodologie lui permettant de cibler les actions majeures en cohérence avec le planning et la gestion de son projet.

Son périmètre est transverse et large : data clients, data référentiel/offre retail, data vente, référentiel point de vente, data logistique, digital 

Missions Principales :

Organiser la connaissance des données et leur usage
Assurer le partage des données sur l'ensemble de l'entreprise

Réflexion sur la roadmap de valorisation des données

Construire la feuille de route de la stratégie data pour assurer la mise en place de la culture data et la valeur qualitative des données collectées

Définir l'architecture et la gouvernance, fixer les priorités et les règles de mise en œuvre globale de systèmes d'exploitation des données et piloter leur mise en œuvre

Contribuer à la construction d'un SI adapté, favorisant le traitement et l'analyse des données

Piloter la mise en place de la stratégie data, soit concrétiser les usages data, diffuser la culture data et gouverner les données (qualité, risques, conformité RGPD, valorisation )

Identifier les besoins de l'entité sur les données

S'aligner sur les projets du programme avec l'ensemble des acteurs internes (achats, logistique, IT, finance, digital,  ) et externes

Garantir le respect des process internes autour de la data",2022-03-03T12:06:01.000Z,2022-03-03T12:06:03.000Z,M1402,Conseil en organisation et management d'entreprise,Chief digital officer - Responsable transformation digitale,CDI,Contrat à durée indéterminée,Contrat travail,E,5 ans,"[{'code': '120246', 'libelle': 'Gestion de projet', 'exigence': 'S'}, {'code': '117158', 'libelle': 'Définir les modalités de mise en oeuvre des solutions retenues', 'exigence': 'S'}, {'code': '118637', 'libelle': 'Analyser les besoins du client', 'exigence': 'S'}, {'code': '121287', 'libelle': ""Définir les objectifs et le cadre de l'intervention"", 'exigence': 'S'}, {'code': '123969', 'libelle': ""Préconiser des améliorations en matière d'organisation, de gestion, de procédures"", 'exigence': 'S'}]",35H Horaires normaux,Temps plein,False,1.0,False,9.0,Cadre,70.0,Conseil pour les affaires et autres conseils de gestion,"[{'libelle': 'Sens de la communication', 'description': ""Capacité à transmettre clairement des informations, à échanger, à écouter activement, à réceptionner des informations et messages et à faire preuve d'ouverture d'esprit. Exemple : être à l'écoute, être attentif aux autres""}, {'libelle': ""Sens de l'organisation"", 'description': 'Capacité à planifier, à prioriser, à anticiper des actions en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser. Exemple : planifier, ordonner ses actions par priorité'}, {'libelle': 'Rigueur', 'description': ""Capacité à respecter les règles et codes de l'entreprise, à réaliser des tâches en suivant avec précision les procédures et instructions fournies , à transmettre des informations avec exactitude. Exemple : être ponctuel, respecter les engagements, résister à la distraction""}]",91 - BONDOUFLE,48.612324,2.376575,91070.0,91086.0,LES MOUSQUETAIRES,False,"Annuel de 60000,00 Euros à 80000,00 Euros sur 12 mois",1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CNBX,False,,,,,https://www.carrieres-mousquetaires.com/offre?reference=2022-13283&utm_source=PE&utm_medium=TargetingSourcing&utm_campaign=EQPMTMAISON,,,,,,,https://www.carrieres-mousquetaires.com/offre?reference=2022-13283&utm_source=PE&utm_medium=TargetingSourcing&utm_campaign=EQPMTMAISON,,,,,,,,,,,
9,9.0,129CGQW,Ingénieur / Ingénieure Informatique Data Engineer Azure/GCP (H/F),"Dans le cadre des projets d'adoption de la culture et de la stratégie « Move To Cloud », vous rejoindrez l'équipe Data de CloudiaSys pour la mise en œuvre des plateformes Data chez nos différents clients avec vos compétences de Data Engineering

* Niveau et Connaissances Obligatoires :

- Vous êtes diplômé / diplômée de formation Bac+5 en Informatique
- Vous maitrisez le développement sur le Data Warehouse cloud Snowflake
- Vous avez une expérience réelle en production sur des projets de Data Engineering dans l'un des Cloud Azure ou GCP avec la maitrise des outils suivants : 
* Azure : Azure Data Factory, Spark/Azure Databricks, Azure Data Lake Gen2, Power BI
OU
* Google Cloud (GCP) : BigQuery, Dataproc, Dataflow, Google Storage, Composer, AirFlow, Data Studio
- Vous avez une appétence pour les problématiques métiers orientées Data Science
- Vous avez déjà automatisé en production le déploiement et l'exécution des Pipelines de données analytiques (DataOps) et des modèles Machine 
 Learning (MLOps)
- Vous manifestez un fort intérêt pour les nouvelles technologies autour du Cloud Computing (Azure ou GCP) et vous êtes en mesure de prendre en charge la gestion et l'évolution de l'architecture Data Plateforme sur le fournisseur cloud déployé par nos clients
- Vous êtes autonome et vous disposez d'un bon état d'esprit et un sens du relationnel pour réussir votre mission au quotidien


* Connaissances Supplémentaires qui seront fortement appréciées :

- Vous possédez la certification Azure Data Engineer ou GCP Google Cloud Professional Data Engineer
- Vous connaissez la méthode ITIL
- Vous connaissez la méthodologie Agile

* Compétences Techniques :
- Snowflake
- Data Enginnering Azure : Azure Data Factory, Spark/Azure Databricks, Azure Data Lake Gen2, Power BI
- Data Enginnering GCP : BigQuery, Dataproc, Dataflow, Google Storage, Composer, AirFlow , Data Studio
- Implémentation des algorithmes Machine Learning en Python, Panda, Numpy, TensorFlow, Keras
- Ligne de commande et Shell Linux , Python
- Git/GitHub ou GitLab
- Docker et Kubernetes",2022-03-03T11:05:03.000Z,2022-03-03T11:12:08.000Z,M1805,Études et développement informatique,Ingénieur / Ingénieure de développement informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,5 ans,,39H Horaires normaux,Temps plein,False,1.0,False,9.0,Cadre,62.0,Conseil en systèmes et logiciels informatiques,,75 - PARIS 18,48.859,2.347,75018.0,75118.0,CLOUDIASYS,False,Mensuel de 3333 Euros à 3600 Euros sur 12 mois,1.0,https://candidat.pole-emploi.fr/offres/recherche/detail/129CGQW,False,,,,,,,,,,,,,"[{'libelle': 'Anglais', 'exigence': 'S'}]",,,,,,,,,,
